#,รหัสโรค,รายละเอียด,เหตุผล,ICD-10-WHO,ICD-10-TM,ICD-10-TMD
3760,G46,Vascular syndromes of brain in cerebrovascular diseases (I60-I67+),F,Y,N,N
3761,G460,Middle cerebral artery syndrome (I66.0+),T,Y,Y,N
3762,G461,Anterior cerebral artery syndrome (I66.1+),T,Y,Y,N
3763,G462,Posterior cerebral artery syndrome (I66.2+),T,Y,Y,N
3764,G463,Brain stem stroke syndrome (I60-I67+),T,Y,Y,N
3765,G464,Cerebellar stroke syndrome (I60-I67+),T,Y,Y,N
3766,G465,Pure motor lacunar syndrome (I60-I67+),T,Y,Y,N
3767,G466,Pure sensory lacunar syndrome (I60-I67+),T,Y,Y,N
3768,G467,Other lacunar syndromes (I60-I67+),T,Y,Y,N
3769,G468,Other vascular syndromes of the brain in cerebrovascular diseases (I60-I67+),T,Y,Y,N
3770,G47,Sleep disorders,F,Y,N,N
3771,G470,Disorders of initiating and maintaining sleep [insomnias],T,Y,Y,N
3772,G471,Disorders of excessive somnolence [hypersomnias],T,Y,Y,N
3773,G472,Disorders of the sleep-wake schedule,T,Y,Y,N
3774,G473,Sleep apnoea,T,Y,Y,N
3775,G474,Narcolepsy and cataplexy,T,Y,Y,N
3776,G478,Other sleep disorders,T,Y,Y,N
3777,G479,"Sleep disorder, unspecified",T,Y,Y,N
3778,G50,Disorders of trigeminal nerve,F,Y,N,N
3779,G500,Trigeminal neuralgia,T,Y,Y,N
3780,G501,Atypical facial pain,T,Y,Y,N
3781,G508,Other disorders of trigeminal nerve,T,Y,Y,N
3782,G509,"Disorder of trigeminal nerve, unspecified",T,Y,Y,N
3783,G51,Facial nerve disorders,F,Y,N,N
3784,G510,Bell's palsy,T,Y,Y,N
3785,G511,Geniculate ganglionitis,T,Y,Y,N
3786,G512,Melkersson's syndrome,T,Y,Y,N
3787,G513,Clonic hemifacial spasm,T,Y,Y,N
3788,G514,Facial myokymia,T,Y,Y,N
3789,G518,Other disorders of facial nerve,T,Y,Y,N
3790,G519,"Disorder of facial nerve, unspecified",T,Y,Y,N
3791,G52,Disorders of other cranial nerves,F,Y,N,N
3792,G520,Disorders of olfactory nerve,T,Y,Y,N
3793,G521,Disorders of glossopharyngeal nerve,T,Y,Y,N
3794,G522,Disorders of vagus nerve,T,Y,Y,N
3795,G523,Disorders of hypoglossal nerve,T,Y,Y,N
3796,G527,Disorders of multiple cranial nerves,T,Y,Y,N
3797,G528,Disorders of other specified cranial nerves,T,Y,Y,N
3798,G529,"Cranial nerve disorder, unspecified",T,Y,Y,N
3799,G53,Cranial nerve disorders in diseases classified elsewhere,F,Y,N,N
3800,G530,Postzoster neuralgia (B02.2+),T,Y,Y,N
3801,G531,Multiple cranial nerve palsies in infectious and parasitic diseases classified(A00-B99+),T,Y,Y,N
3802,G532,Multiple cranial nerve palsies in sarcoidosis (D86.8+),T,Y,Y,N
3803,G533,Multiple cranial nerve palsies in neoplastic disease(C00-D48+),T,Y,Y,N
3804,G538,Other cranial nerve disorders in other diseases classified elsewhere,T,Y,Y,N
3805,G54,Nerve root and plexus disorders,F,Y,N,N
3806,G540,Brachial plexus disorders,T,Y,Y,N
3807,G541,Lumbosacral plexus disorders,T,Y,Y,N
3808,G542,"Cervical root disorders, not elsewhere classified",T,Y,Y,N
3809,G543,"Thoracic root disorders, not elsewhere classified",T,Y,Y,N
3810,G544,"Lumbosacral root disorders, not elsewhere classified",T,Y,Y,N
3811,G545,Neuralgic amyotrophy,T,Y,Y,N
3812,G546,Phantom limb syndrome with pain,T,Y,Y,N
3813,G547,Phantom limb syndrome without pain,T,Y,Y,N
3814,G548,Other nerve root and plexus disorders,T,Y,Y,N
3815,G549,"Nerve root and plexus disorder, unspecified",T,Y,Y,N
3816,G55,Nerve root and plexus compressions in diseases classified elsewhere,F,Y,N,N
3817,G550,Nerve root and plexus compressions in neoplastic disease(C00-D48+),T,Y,Y,N
3818,G551,Nerve root and plexus compressions in intervertebral disc disorders (M50-M51+),T,Y,Y,N
3819,G552,Nerve root and plexus compressions in spondylosis (M47.-+),T,Y,Y,N
3820,G553,"Nerve root and plexus compressions in other dorsopathies (M45-M46+, M48.-+, M53-M54+)",T,Y,Y,N
3821,G558,Nerve root and plexus compressions in other diseases classified elsewhere,T,Y,Y,N
3822,G56,Mononeuropathies of upper limb,F,Y,N,N
3823,G560,Carpal tunnel syndrome,T,Y,Y,N
3824,G561,Other lesions of median nerve,T,Y,Y,N
3825,G562,Lesion of ulnar nerve,T,Y,Y,N
3826,G563,Lesion of radial nerve,T,Y,Y,N
3827,G564,Causalgia,T,Y,Y,N
3828,G568,Other mononeuropathies of upper limb,T,Y,Y,N
3829,G569,"Mononeuropathy of upper limb, unspecified",T,Y,Y,N
3830,G57,Mononeuropathies of lower limb,F,Y,N,N
3831,G570,Lesion of sciatic nerve,T,Y,Y,N
3832,G571,Meralgia paraesthetica,T,Y,Y,N
3833,G572,Lesion of femoral nerve,T,Y,Y,N
3834,G573,Lesion of lateral popliteal nerve,T,Y,Y,N
3835,G574,Lesion of medial popliteal nerve,T,Y,Y,N
3836,G575,Tarsal tunnel syndrome,T,Y,Y,N
3837,G576,Lesion of plantar nerve,T,Y,Y,N
3838,G578,Other mononeuropathies of lower limb,T,Y,Y,N
3839,G579,"Mononeuropathy of lower limb, unspecified",T,Y,Y,N
3840,G58,Other mononeuropathies,F,Y,N,N
3841,G580,Intercostal neuropathy,T,Y,Y,N
3842,G587,Mononeuritis multiplex,T,Y,Y,N
3843,G588,Other specified mononeuropathies,T,Y,Y,N
3844,G589,"Mononeuropathy, unspecified",T,Y,Y,N
3845,G59,Mononeuropathy in diseases classified elsewhere,F,Y,N,N
3846,G590,Diabetic mononeuropathy (E10-E14+ with common fourth character .4),T,Y,Y,N
3847,G598,Other mononeuropathies in diseases classified elsewhere,T,Y,Y,N
3848,G60,Hereditary and idiopathic neuropathy,F,Y,N,N
3849,G600,Hereditary motor and sensory neuropathy,T,Y,Y,N
3850,G601,Refsum's disease,T,Y,Y,N
3851,G602,Neuropathy in association with hereditary ataxia,T,Y,Y,N
3852,G603,Idiopathic progressive neuropathy,T,Y,Y,N
3853,G608,Other hereditary and idiopathic neuropathies,T,Y,Y,N
3854,G609,"Hereditary and idiopathic neuropathy, unspecified",T,Y,Y,N
3855,G61,Inflammatory polyneuropathy,F,Y,N,N
3856,G610,Guillain-Barre syndrome,T,Y,Y,N
3857,G611,Serum neuropathy,T,Y,Y,N
3858,G618,Other inflammatory polyneuropathies,T,Y,Y,N
3859,G619,"Inflammatory polyneuropathy, unspecified",T,Y,Y,N
3860,G62,Other polyneuropathies,F,Y,N,N
3861,G620,Drug-induced polyneuropathy,T,Y,Y,N
3862,G621,Alcoholic polyneuropathy,T,Y,Y,N
3863,G622,Polyneuropathy due to other toxic agents,T,Y,Y,N
3864,G628,Other specified polyneuropathies,T,Y,Y,N
3865,G629,"Polyneuropathy, unspecified",T,Y,Y,N
3866,G63,Polyneuropathy in diseases classified elsewhere,F,Y,N,N
3867,G630,Polyneuropathy in infectious and parasitic diseases classified elsewhere,T,Y,Y,N
3868,G631,Polyneuropathy in neoplastic disease (C00-D48+),T,Y,Y,N
3869,G632,Diabetic polyneuropathy (E10-E14+ with common fourth character .4),T,Y,Y,N
3870,G633,"Polyneuropathy in other endocrine and metabolic diseases(E00-E07+, E15-E16+ ,E20-E34, E70-E89+)",T,Y,Y,N
3871,G634,Polyneuropathy in nutritional deficiency (E40-E64+),T,Y,Y,N
3872,G635,Polyneuropathy in systemic connective tissue disorders(M30-M35+),T,Y,Y,N
3873,G636,"Polyneuropathy in other musculoskeletal disorders(M00-M25+, M40-M96+)",T,Y,Y,N
3874,G638,Polyneuropathy in other diseases classified elsewhere,T,Y,Y,N
3875,G64,Other disorders of peripheral nervous system,T,Y,Y,N
3876,G70,Myasthenia gravis and other myoneural disorders,F,Y,N,N
3877,G700,Myasthenia gravis,T,Y,Y,N
3878,G701,Toxic myoneural disorders,T,Y,Y,N
3879,G702,Congenital and developmental myasthenia,T,Y,Y,N
3880,G708,Other specified myoneural disorders,T,Y,Y,N
3881,G709,"Myoneural disorder, unspecified",T,Y,Y,N
3882,G71,Primary disorders of muscles,F,Y,N,N
3883,G710,Muscular dystrophy,T,Y,Y,N
3884,G711,Myotonic disorders,T,Y,Y,N
3885,G712,Congenital myopathies,T,Y,Y,N
3886,G713,"Mitochondrial myopathy, not elsewhere classified",T,Y,Y,N
3887,G718,Other primary disorders of muscles,T,Y,Y,N
3888,G719,"Primary disorder of muscle, unspecified",T,Y,Y,N
3889,G72,Other myopathies,F,Y,N,N
3890,G720,Drug-induced myopathy,T,Y,Y,N
3891,G721,Alcoholic myopathy,T,Y,Y,N
3892,G722,Myopathy due to other toxic agents,T,Y,Y,N
3893,G723,Periodic paralysis,T,Y,Y,N
3894,G724,"Inflammatory myopathy, not elsewhere classified",T,Y,Y,N
3895,G728,Other specified myopathies,T,Y,Y,N
3896,G729,"Myopathy, unspecified",T,Y,Y,N
3897,G73,Disorders of myoneural junction and muscle in diseases classified elsewhere,F,Y,N,N
3898,G730,Myasthenic syndromes in endocrine diseases,T,Y,Y,N
3899,G731,Eaton-Lambert syndrome (C80+),T,Y,Y,N
3900,G732,Other myasthenic syndromes in neoplastic disease(C00-D48+),T,Y,Y,N
3901,G733,Myasthenic syndromes in other diseases classified elsewhere,T,Y,Y,N
3902,G734,Myopathy in infectious and parasitic diseases classified elsewhere,T,Y,Y,N
3903,G735,Myopathy in endocrine diseases,T,Y,Y,N
3904,G736,Myopathy in metabolic diseases,T,Y,Y,N
3905,G737,Myopathy in other diseases classified elsewhere,T,Y,Y,N
3906,G80,Infantile cerebral palsy,F,Y,N,N
3907,G800,Spastic cerebral palsy,T,Y,Y,N
3908,G801,Spastic diplegia,T,Y,Y,N
3909,G802,Infantile hemiplegia,T,Y,Y,N
3910,G803,Dyskinetic cerebral palsy,T,Y,Y,N
3911,G804,Ataxic cerebral palsy,T,Y,Y,N
3912,G808,Other infantile cerebral palsy,T,Y,Y,N
3913,G809,"Infantile cerebral palsy, unspecified",T,Y,Y,N
3914,G81,Hemiplegia,F,Y,N,N
3915,G810,Flaccid hemiplegia,T,Y,Y,N
3916,G811,Spastic hemiplegia,T,Y,Y,N
3917,G819,"Hemiplegia, unspecified",T,Y,Y,N
3918,G82,Paraplegia and tetraplegia,F,Y,N,N
3919,G820,Flaccid paraplegia,T,Y,Y,N
3920,G821,Spastic paraplegia,T,Y,Y,N
3921,G822,"Paraplegia, unspecified",T,Y,Y,N
3922,G823,Flaccid tetraplegia,T,Y,Y,N
3923,G824,Spastic tetraplegia,T,Y,Y,N
3924,G825,"Tetraplegia, unspecified",T,Y,Y,N
3925,G83,Other paralytic syndromes,F,Y,N,N
3926,G830,Diplegia of upper limbs,T,Y,Y,N
3927,G831,Monoplegia of lower limb,T,Y,Y,N
3928,G832,Monoplegia of upper limb,T,Y,Y,N
3929,G833,"Monoplegia, unspecified",T,Y,Y,N
3930,G834,Cauda equina syndrome,T,Y,Y,N
3931,G838,Other specified paralytic syndromes,T,Y,Y,N
3932,G839,"Paralytic syndrome, unspecified",T,Y,Y,N
3933,G90,Disorders of autonomic nervous system,F,Y,N,N
3934,G900,Idiopathic peripheral autonomic neuropathy,T,Y,Y,N
3935,G901,Familial dysautonomia [Riley-Day],T,Y,Y,N
3936,G902,Horner's syndrome,T,Y,Y,N
3937,G903,Multi-system degeneration,T,Y,Y,N
3938,G904,Autonomic dysreflexia,T,Y,N,N
3939,G908,Other disorders of the autonomic nervous system,T,Y,Y,N
3940,G909,"Disorder of the autonomic nervous system, unspecified",T,Y,Y,N
3941,G91,Hydrocephalus,F,Y,N,N
3942,G910,Communicating hydrocephalus,T,Y,Y,N
3943,G911,Obstructive hydrocephalus,T,Y,Y,N
3944,G912,Normal pressure hydrocephalus,T,Y,Y,N
3945,G913,"Post-traumatic hydrocephalus, unspecified",T,Y,Y,N
3946,G918,Other hydrocephalus,T,Y,Y,N
3947,G919,"Hydrocephalus, unspecified",T,Y,Y,N
3948,G92,Toxic encephalopathy,T,Y,Y,N
3949,G93,Other disorders of brain,F,Y,N,N
3950,G930,Cerebral cysts,T,Y,Y,N
3951,G931,"Anoxic brain damage, not elsewhere classified",T,Y,Y,N
3952,G932,Benign intracranial hypertension,T,Y,Y,N
3953,G933,Postviral fatigue syndrome,T,Y,Y,N
3954,G934,"Encephalopathy, unspecified",T,Y,Y,N
3955,G935,Compression of brain,T,Y,Y,N
3956,G936,Cerebral oedema,T,Y,Y,N
3957,G937,Reye's syndrome,T,Y,Y,N
3958,G938,Other specified disorders of brain,T,Y,Y,N
3959,G939,"Disorder of brain, unspecified",T,Y,Y,N
3960,G94,Other disorders of brain in diseases classified elsewhere,F,Y,N,N
3961,G940,Hydrocephalus in infectious and parasitic diseases classified elsewhere(A00-B99+),T,Y,Y,N
3962,G941,Hydrocephalus in neoplastic disease (C00-D48+),T,Y,Y,N
3963,G942,Hydrocephalus in other diseases classified elsewhere,T,Y,Y,N
3964,G948,Other specified disorders of brain in diseases classified elsewhere,T,Y,Y,N
3965,G95,Other diseases of spinal cord,F,Y,N,N
3966,G950,Syringomyelia and syringobulbia,T,Y,Y,N
3967,G951,Vascular myelopathies,T,Y,Y,N
3968,G952,"Cord compression, unspecified",T,Y,Y,N
3969,G958,Other specified diseases of spinal cord,T,Y,Y,N
3970,G959,"Disease of spinal cord, unspecified",T,Y,Y,N
3971,G96,Other disorders of central nervous system,F,Y,N,N
3972,G960,Cerebrospinal fluid leak,T,Y,Y,N
3973,G961,"Disorders of meninges, not elsewhere classified",T,Y,Y,N
3974,G968,Other specified disorders of the central nervous system,T,Y,Y,N
3975,G969,"Disorder of the central nervous system, unspecified",T,Y,Y,N
3976,G97,"Postprocedural disorders of nervous system, not elsewhere classified",F,Y,N,N
3977,G970,Cerebrospinal fluid leak from spinal puncture,T,Y,Y,N
3978,G971,Other reaction to spinal and lumbar puncture,T,Y,Y,N
3979,G972,Intracranial hypotension following ventricular shunting,T,Y,Y,N
3980,G978,Other postprocedural disorders of the nervous system,T,Y,Y,N
3981,G979,"Postprocedural disorder of the nervous system, unspecified",T,Y,Y,N
3982,G98,"Other disorders of nervous system, not elsewhere classified",T,Y,Y,N
3983,G99,Other disorders of nervous system in diseases classified elsewhere,F,Y,N,N
3984,G990,Autonomic neuropathy in endocrine and metabolic diseases,T,Y,Y,N
3985,G991,Other disorders of the autonomic nervous system in other diseases classified elsewhere,T,Y,Y,N
3986,G992,Myelopathy in diseases classified elsewhere,T,Y,Y,N
3987,G998,Other specified disorders of the nervous system in diseases classified elsewhere,T,Y,Y,N
3988,H00,Hordeolum and chalazion,F,Y,N,N
3989,H000,Hordeolum and other deep inflammation of eyelid,T,Y,Y,N
3990,H001,Chalazion,T,Y,Y,N
3991,H01,Other inflammation of eyelid,F,Y,N,N
3992,H010,Blepharitis,T,Y,Y,N
3993,H011,Noninfectious dermatoses of eyelid,T,Y,Y,N
3994,H018,Other specified inflammation of eyelid,T,Y,Y,N
3995,H019,"Inflammation of eyelid, unspecified",T,Y,Y,N
3996,H02,Other disorders of eyelid,F,Y,N,N
3997,H020,Entropion and trichiasis of eyelid,T,Y,Y,N
3998,H021,Ectropion of eyelid,T,Y,Y,N
3999,H022,Lagophthalmos,T,Y,Y,N
4000,H023,Blepharochalasis,T,Y,Y,N
4001,H024,Ptosis of eyelid,T,Y,Y,N
4002,H025,Other disorders affecting eyelid function,T,Y,Y,N
4003,H026,Xanthelasma of eyelid,T,Y,Y,N
4004,H027,Other degenerative disorders of eyelid and periocular area,T,Y,Y,N
4005,H028,Other specified disorders of eyelid,T,Y,Y,N
4006,H029,"Disorder of eyelid, unspecified",T,Y,Y,N
4007,H03,Disorders of eyelid in diseases classified elsewhere,F,Y,N,N
4008,H030,Parasitic infestation of eyelid in diseases classified elsewhere,T,Y,Y,N
4009,H031,Involvement of eyelid in other infectious diseases classified elsewhere,T,Y,Y,N
4010,H038,Involvement of eyelid in other diseases classified elsewhere,T,Y,Y,N
4011,H04,Disorders of lacrimal system,F,Y,N,N
4012,H040,Dacryoadenitis,T,Y,Y,N
4013,H041,Other disorders of lacrimal gland,T,Y,Y,N
4014,H042,Epiphora,T,Y,Y,N
4015,H043,Acute and unspecified inflammation of lacrimal passages,T,Y,Y,N
4016,H044,Chronic inflammation of lacrimal passages,T,Y,Y,N
4017,H045,Stenosis and insufficiency of lacrimal passages,T,Y,Y,N
4018,H046,Other changes in lacrimal passages,T,Y,Y,N
4019,H048,Other disorders of lacrimal system,T,Y,Y,N
4020,H049,"Disorder of lacrimal system, unspecified",T,Y,Y,N
4021,H05,Disorders of orbit,F,Y,N,N
4022,H050,Acute inflammation of orbit,T,Y,Y,N
4023,H051,Chronic inflammatory disorders of orbit,T,Y,Y,N
4024,H052,Exophthalmic conditions,T,Y,Y,N
4025,H053,Deformity of orbit,T,Y,Y,N
4026,H054,Enophthalmos,T,Y,Y,N
4027,H055,Retained (old) foreign body following penetrating wound of orbit,T,Y,Y,N
4028,H058,Other disorders of orbit,T,Y,Y,N
4029,H059,"Disorder of orbit, unspecified",T,Y,Y,N
4030,H06,Disorders of lacrimal system and orbit in diseases classified elsewhere,F,Y,N,N
4031,H060,Disorders of lacrimal system in diseases classified elsewhere,T,Y,Y,N
4032,H061,Parasitic infestation of orbit in diseases classified elsewhere,T,Y,Y,N
4033,H062,Dysthyroid exophthalmos (E05.-+),T,Y,Y,N
4034,H063,Other disorders of orbit in diseases classified elsewhere,T,Y,Y,N
4035,H10,Conjunctivitis,F,Y,N,N
4036,H100,Mucopurulent conjunctivitis,T,Y,Y,N
4037,H101,Acute atopic conjunctivitis,T,Y,Y,N
4038,H102,Other acute conjunctivitis,T,Y,Y,N
4039,H103,"Acute conjunctivitis, unspecified",T,Y,Y,N
4040,H104,Chronic conjunctivitis,T,Y,Y,N
4041,H105,Blepharoconjunctivitis,T,Y,Y,N
4042,H108,Other conjunctivitis,T,Y,Y,N
4043,H109,"Conjunctivitis, unspecified",T,Y,Y,N
4044,H11,Other disorders of conjunctiva,F,Y,N,N
4045,H110,Pterygium,T,Y,Y,N
4046,H111,Conjunctival degenerations and deposits,T,Y,Y,N
4047,H112,Conjunctival scars,T,Y,Y,N
4048,H113,Conjunctival haemorrhage,T,Y,Y,N
4049,H114,Other conjunctival vascular disorders and cysts,T,Y,Y,N
4050,H118,Other specified disorders of conjunctiva,T,Y,Y,N
4051,H119,"Disorder of conjunctiva, unspecified",T,Y,Y,N
4052,H13,Disorders of conjunctiva in diseases classified elsewhere,F,Y,N,N
4053,H130,Filarial infestion of conjunctiva (B74.-+),T,Y,Y,N
4054,H131,Conjunctivitis in infectious and parasitic diseases classified elsewhere,T,Y,Y,N
4055,H132,Conjunctivitis in other diseases classified elsewhere,T,Y,Y,N
4056,H133,Ocular pemphigoid (L12.-+),T,Y,Y,N
4057,H138,Other disorders of conjunctiva in diseases classified elsewhere,T,Y,Y,N
4058,H15,Disorders of sclera,F,Y,N,N
4059,H150,Scleritis,T,Y,Y,N
4060,H151,Episcleritis,T,Y,Y,N
4061,H158,Other disorders of sclera,T,Y,Y,N
4062,H159,"Disorder of sclera, unspecified",T,Y,Y,N
4063,H16,Keratitis,F,Y,N,N
4064,H160,Corneal ulcer,T,Y,Y,N
4065,H161,Other superficial keratitis without conjunctivitis,T,Y,Y,N
4066,H162,Keratoconjunctivitis,T,Y,Y,N
4067,H163,Interstitial and deep keratitis,T,Y,Y,N
4068,H164,Corneal neovascularization,T,Y,Y,N
4069,H168,Other keratitis,T,Y,Y,N
4070,H169,"Keratitis, unspecified",T,Y,Y,N
4071,H17,Corneal scars and opacities,F,Y,N,N
4072,H170,Adherent leukoma,T,Y,Y,N
4073,H171,Other central corneal opacity,T,Y,Y,N
4074,H178,Other corneal scars and opacities,T,Y,Y,N
4075,H179,"Corneal scar and opacity, unspecified",T,Y,Y,N
4076,H18,Other disorders of cornea,F,Y,N,N
4077,H180,Corneal pigmentations and deposits,T,Y,Y,N
4078,H181,Bullous keratopathy,T,Y,Y,N
4079,H182,Other corneal oedema,T,Y,Y,N
4080,H183,Changes in corneal membranes,T,Y,Y,N
4081,H184,Corneal degeneration,T,Y,Y,N
4082,H185,Hereditary corneal dystrophies,T,Y,Y,N
4083,H186,Keratoconus,T,Y,Y,N
4084,H187,Other corneal deformities,T,Y,Y,N
4085,H188,Other specified disorders of cornea,T,Y,Y,N
4086,H189,"Disorder of cornea, unspecified",T,Y,Y,N
4087,H19,Disorders of sclera and cornea in diseases classified elsewhere,F,Y,N,N
4088,H190,Scleritis and episcleritis in diseases classified elsewhere,T,Y,Y,N
4089,H191,Herpesviral keratitis and keratoconjunctivitis (B00.5+),T,Y,Y,N
4090,H192,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,T,Y,Y,N
4091,H193,Keratitis and keratoconjunctivitis in other diseases classified elsewhere,T,Y,Y,N
4092,H198,Other disorders of sclera and cornea in diseases classified elsewhere,T,Y,Y,N
4093,H20,Iridocyclitis,F,Y,N,N
4094,H200,Acute and subacute iridocyclitis,T,Y,Y,N
4095,H201,Chronic iridocyclitis,T,Y,Y,N
4096,H202,Lens-induced iridocyclitis,T,Y,Y,N
4097,H208,Other iridocyclitis,T,Y,Y,N
4098,H209,"Iridocyclitis, unspecified",T,Y,Y,N
4099,H21,Other disorders of iris and ciliary body,F,Y,N,N
4100,H210,Hyphaema,T,Y,Y,N
4101,H211,Other vascular disorders of iris and ciliary body,T,Y,Y,N
4102,H212,Degeneration of iris and ciliary body,T,Y,Y,N
4103,H213,"Cyst of iris, ciliary body and anterior chamber",T,Y,Y,N
4104,H214,Pupillary membranes,T,Y,Y,N
4105,H215,Other adhesions and disruptions of iris and ciliary body,T,Y,Y,N
4106,H218,Other specified disorders of iris and ciliary body,T,Y,Y,N
4107,H219,"Disorder of iris and ciliary body, unspecified",T,Y,Y,N
4108,H22,Disorders of iris and ciliary body in diseases classified elsewhere,F,Y,N,N
4109,H220,Iridocyclitis in infectious and parasitic diseases classified elsewhere,T,Y,Y,N
4110,H221,Iridocyclitis in other diseases classified elsewhere,T,Y,Y,N
4111,H228,Other disorders of iris and ciliary body in diseases classified elsewhere,T,Y,Y,N
4112,H25,Senile cataract,F,Y,N,N
4113,H250,Senile incipient cataract,T,Y,Y,N
4114,H251,Senile nuclear cataract,T,Y,Y,N
4115,H252,"Senile cataract, morgagnian type",T,Y,Y,N
4116,H258,Other senile cataract,T,Y,Y,N
4117,H259,"Senile cataract, unspecified",T,Y,Y,N
4118,H26,Other cataract,F,Y,N,N
4119,H260,"Infantile, juvenile and presenile cataract",T,Y,Y,N
4120,H261,Traumatic cataract,T,Y,Y,N
4121,H262,Complicated cataract,T,Y,Y,N
4122,H263,Drug-induced cataract,T,Y,Y,N
4123,H264,After-cataract,T,Y,Y,N
4124,H268,Other specified cataract,T,Y,Y,N
4125,H269,"Cataract, unspecified",T,Y,Y,N
4126,H27,Other disorders of lens,F,Y,N,N
4127,H270,Aphakia,T,Y,Y,N
4128,H271,Dislocation of lens,T,Y,Y,N
4129,H278,Other specified disorders of lens,T,Y,Y,N
4130,H279,"Disorder of lens, unspecified",T,Y,Y,N
4131,H28,Cataract and other disorders of lens in diseases classified elsewhere,F,Y,N,N
4132,H280,Diabetic cataract (E10-E14+ with common fourth character .3),T,Y,Y,N
4133,H281,"Cataract in other endocrine, nutritional and metabolic diseases",T,Y,Y,N
4134,H282,Cataract in other diseases classified elsewhere,T,Y,Y,N
4135,H288,Other disorders of lens in diseases classified elsewhere,T,Y,Y,N
4136,H30,Chorioretinal inflammation,F,Y,N,N
4137,H300,Focal chorioretinal inflammation,T,Y,Y,N
4138,H301,Disseminated chorioretinal inflammation,T,Y,Y,N
4139,H302,Posterior cyclitis,T,Y,Y,N
4140,H308,Other chorioretinal inflammations,T,Y,Y,N
4141,H309,"Chorioretinal inflammation, unspecified",T,Y,Y,N
4142,H31,Other disorders of choroid,F,Y,N,N
4143,H310,Chorioretinal scars,T,Y,Y,N
4144,H311,Choroidal degeneration,T,Y,Y,N
4145,H312,Hereditary choroidal dystrophy,T,Y,Y,N
4146,H313,Choroidal haemorrhage and rupture,T,Y,Y,N
4147,H314,Choroidal detachment,T,Y,Y,N
4148,H318,Other specified disorders of choroid,T,Y,Y,N
4149,H319,"Disorder of choroid, unspecified",T,Y,Y,N
4150,H32,Chorioretinal disorders in diseases classified elsewhere,F,Y,N,N
4151,H320,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere,T,Y,Y,N
4152,H328,Other chorioretinal disorders in diseases classified elsewhere,T,Y,Y,N
4153,H33,Retinal detachments and breaks,F,Y,N,N
4154,H330,Retinal detachment with retinal break,T,Y,Y,N
4155,H331,Retinoschisis and retinal cysts,T,Y,Y,N
4156,H332,Serous retinal detachment,T,Y,Y,N
4157,H533,Other disorders of binocular vision,T,Y,Y,N
4158,H534,Visual field defects,T,Y,Y,N
4159,H535,Colour vision deficiencies,T,Y,Y,N
4160,H536,Night blindness,T,Y,Y,N
4161,H538,Other visual disturbances,T,Y,Y,N
4162,H539,"Visual disturbance, unspecified",T,Y,Y,N
4163,H54,Blindness and low vision,F,Y,N,N
4164,H540,"Blindness, both eyes",T,Y,Y,N
4165,H541,"Blindness, one eye, low vision other eye",T,Y,Y,N
4166,H542,"Low vision, both eyes",T,Y,Y,N
4167,H543,"Unqualified visual loss, both eyes",T,Y,Y,N
4168,H544,"Blindness, one eye",T,Y,Y,N
4169,H545,"Low vision, one eye",T,Y,Y,N
4170,H546,"Unqualified visual loss, one eye",T,Y,Y,N
4171,H547,Unspecified visual loss,F,Y,Y,N
4172,H55,Nystagmus and other irregular eye movements,T,Y,Y,N
4173,H57,Other disorders of eye and adnexa,F,Y,N,N
4174,H570,Anomalies of pupillary function,T,Y,Y,N
4175,H571,Ocular pain,T,Y,Y,N
4176,H578,Other specified disorders of eye and adnexa,T,Y,Y,N
4177,H579,"Disorder of eye and adnexa, unspecified",T,Y,Y,N
4178,H58,Other disorders of eye and adnexa in diseases classified elsewhere,F,Y,N,N
4179,H580,Anomalies of pupillary function in diseases classified elsewhere,T,Y,Y,N
4180,H581,Visual disturbances in diseases classified elsewhere,T,Y,Y,N
4181,H588,Other specified disorders of eye and adnexa in diseases classified elsewhere,T,Y,Y,N
4182,H59,"Post procedure disorder of eye and adnexa, not elsewhere classified",F,Y,N,N
4183,H590,Vitreous syndrome following cataract surgery,T,Y,Y,N
4184,H598,Other postprocedural disorders of eye and adnexa,T,Y,Y,N
4185,H599,"Postprocedural disorder of eye and adnexa, unspecified",T,Y,Y,N
4186,H60,Otitis externa,F,Y,N,N
4187,H600,Abscess of external ear,T,Y,Y,N
4188,H601,Cellulitis of external ear,T,Y,Y,N
4189,H602,Malignant otitis externa,T,Y,Y,N
4190,H603,Other infective otitis externa,T,Y,Y,N
4191,H604,Cholesteatoma of external ear,T,Y,Y,N
4192,H605,"Acute otitis externa, noninfective",T,Y,Y,N
4193,H608,Other otitis externa,T,Y,Y,N
4194,H609,"Otitis externa, unspecified",T,Y,Y,N
4195,H61,Other disorders of external ear,F,Y,N,N
4196,H610,Perichondritis of external ear,T,Y,Y,N
4197,H611,Noninfective disorders of pinna,T,Y,Y,N
4198,H612,Impacted cerumen,T,Y,Y,N
4199,H613,Acquired stenosis of external ear canal,T,Y,Y,N
4200,H614,Hematoma or seroma of external ear (TM),T,Y,Y,N
4201,H618,Other specified disorders of external ear,T,Y,Y,N
4202,H619,"Disorder of external ear, unspecified",T,Y,Y,N
4203,H62,Disorders of external ear in diseases classified elsewhere,F,Y,N,N
4204,H620,Otitis externa in bacterial diseases classified elsewhere,T,Y,Y,N
